brand,home_nursing_score,home_nursing_own_prev,home_nursing_ext_prev,physiotherapy_score,physiotherapy_own_prev,physiotherapy_ext_prev,doctor_support_score,doctor_support_own_prev,doctor_support_ext_prev,diagnostics_score,diagnostics_own_prev,diagnostics_ext_prev
Emirates Home Nursing,100.0,100.0,100.0,9.47,35.38,5.64,6.13,40.77,0.0,4.73,35.38,0.0
First Response Healthcare,52.45,67.56,39.64,15.13,21.95,9.29,15.09,26.83,9.29,0.0,0.0,0.0
Nightingale Health Services,56.83,63.16,54.62,5.84,33.68,0.0,24.51,77.89,0.0,10.51,44.74,0.0
Vesta Care,72.24,62.56,100.0,24.4,52.79,0.0,24.66,41.4,14.67,11.12,34.88,0.0
Manzil Health,41.54,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Call Doctor,32.82,65.0,30.92,20.65,0.0,21.89,76.78,82.5,76.51,17.0,0.0,18.0
